Column,Spearman Correlation,Spearman p-value,Pearson Correlation,Pearson p-value
AGE,-0.173517437,8.92E-09,-0.158762952,1.48E-07
OS_STATUS,0.151114994,5.78E-07,0.135397819,7.70E-06
Anastrazole,0.112492948,0.001540822,0.090174873,0.011222477
Cyclophosphamide,0.195682486,2.94E-08,0.173747725,8.96E-07
Doxorubicin,0.260524058,1.01E-13,0.249051518,1.24E-12
Doxorubicin + Cyclophosphamide,-0.125827685,0.000392419,-0.104613574,0.003242174
Paclitaxel,0.235180369,2.17E-11,0.237410073,1.39E-11
Triptorelin,0.077248555,0.029929114,0.079580221,0.025301838
TMB_NONSYNONYMOUS,-0.083668683,0.00626951,-0.062649866,0.04084442
EUR,0.105496157,0.00067141,0.076268064,0.014070825
EAS,-0.16454486,1.00E-07,-0.134204174,1.46E-05
ABCF2|ABCF2,-0.235220022,0.015716679,-0.202697286,0.038103008
ABR|ABR,0.220233992,0.023976436,0.235327812,0.015667591
ACP6|ACP6,-0.237552679,0.014683644,-0.236306449,0.015227962
ADSSL1|ADSSL1,-0.24511049,0.011730882,-0.221168701,0.023369962
AHSA1|AHSA1,-0.212795405,0.029299848,-0.192766708,0.048821713
AKR1B10|AKR1B10,-0.268791453,0.009181947,-0.246788998,0.017089789
ALDOA|ALDOA,-0.245256905,0.011679221,-0.192228626,0.049467399
ANO1|ANO1,0.214920919,0.038561762,0.264546746,0.010391578
ARHGEF12|ARHGEF12,-0.248168864,0.010692278,-0.201276107,0.039503917
ARHGEF6|ARHGEF6,0.194440485,0.046857644,0.209096007,0.032300557
ASMTL|ASMTL,0.24062142,0.013414783,0.230507486,0.017997195
ATP2B4|ATP2B4,0.221918689,0.022892875,0.207813213,0.033399902
AVL9|AVL9,-0.299877665,0.001884196,-0.249544214,0.010252101
B2M|B2M,0.218104063,0.02540883,0.206804148,0.034286676
BST2|BST2,0.212453282,0.02956706,0.255610798,0.00849464
BTBD10|BTBD10,-0.23300899,0.045728999,-0.287117773,0.013127379
BTF3L4|BTF3L4,-0.192008833,0.049733168,-0.203641459,0.037195505
C16orf71|C16orf71,-0.298635857,0.04894283,-0.330936896,0.028218785
C19orf66|C19orf66,0.23307916,0.016719628,0.23487611,0.01587419
C6orf106|C6orf106,-0.26433159,0.006433787,-0.226131994,0.020364809
CAMK2D|CAMK2D,0.25209875,0.009476548,0.258688776,0.007708971
CAMK4|CAMK4,0.276353228,0.006419994,0.237082855,0.020031232
CARD14|CARD14,-0.237585013,0.01466975,-0.195093257,0.046109627
CCDC134|CCDC134,-0.216055942,0.026854387,-0.197837989,0.043072005
CCDC51|CCDC51,0.212976834,0.029158977,0.201101389,0.03967908
CCDC88A|CCDC88A,0.220311747,0.023925477,0.219934239,0.024173753
CD2|CD2,0.283741912,0.007738687,0.251461217,0.018801872
CD3E|CD3E,0.297312933,0.011803848,0.277699035,0.019041348
CD4|CD4,0.264518888,0.006394874,0.240552552,0.013442176
CD53|CD53,0.209089402,0.03880779,0.2220489,0.027986258
CDC42BPB|CDC42BPB,-0.212775222,0.029315555,-0.192146218,0.049566907
CDCP1|CDCP1,-0.265448644,0.007009064,-0.302250501,0.002018405
CEACAM5|CEACAM5,-0.264171291,0.011870099,-0.260050452,0.013311854
CELF2|CELF2,0.225920493,0.020485738,0.212546167,0.02949431
CES3|CES3,-0.280401145,0.033010305,-0.265562155,0.043928799
CHGA|CHGA,0.257760076,0.01000115,0.240840643,0.016334225
CLSTN1|CLSTN1,-0.288021025,0.002887995,-0.301946445,0.001745689
CPNE1|CPNE1,-0.267804658,0.00574534,-0.289530723,0.002737848
CREB3L4|CREB3L4,-0.216983113,0.039951394,-0.221437927,0.03594986
CRTC1|CRTC1,0.243307199,0.012383721,0.234728342,0.015942287
CUL1|CUL1,-0.233349317,0.016590087,-0.219206252,0.024658745
CUL4A|CUL4A,-0.254478067,0.008801059,-0.229538362,0.018500044
DALRD3|DALRD3,0.289286626,0.006575201,0.279722688,0.0086918
DBI|DBI,-0.2011373,0.039643024,-0.234767396,0.015924265
DEF6|DEF6,0.250191149,0.010050604,0.233349144,0.01659017
DHX37|DHX37,0.193113458,0.048409326,0.191828337,0.049952301
DLG3|DLG3,-0.238874519,0.014124848,-0.215293433,0.027410152
DNAL1|DNAL1,-0.215843411,0.027008321,-0.205756159,0.03522856
DOCK10|DOCK10,0.234691894,0.015959122,0.238390805,0.014327151
DOCK8|DOCK8,0.247745086,0.010831203,0.236037509,0.015347697
DOCK9|DOCK9,-0.213858061,0.028482891,-0.225194487,0.02090555
DUS3L|DUS3L,0.288938537,0.002795886,0.258674436,0.007712478
EEF1E1|EEF1E1,-0.244628408,0.011902394,-0.255386226,0.008554632
EFTUD1|EFTUD1,-0.192972998,0.048576025,-0.224524223,0.021299666
EIF1AD|EIF1AD,-0.200852198,0.039930029,-0.192827476,0.048749232
EIF2B2|EIF2B2,-0.288420169,0.002847595,-0.249858921,0.010153643
EIF6|EIF6,-0.211800138,0.030082928,-0.203238861,0.037580225
ELAVL2|ELAVL2,-0.515542475,7.80E-05,-0.44119516,0.000943726
ELMO1|ELMO1,0.201577913,0.039202866,0.211827179,0.03006142
EPB41L4B|EPB41L4B,-0.300617377,0.001833569,-0.272507426,0.004917679
EPPK1|EPPK1,-0.222063832,0.022801515,-0.262650447,0.006792569
EPS8L1|EPS8L1,-0.228849867,0.018864602,-0.248131905,0.010704332
ERLIN1|ERLIN1,0.288668986,0.002822668,0.28398249,0.003326715
ERO1L|ERO1L,-0.201598648,0.039182254,-0.20397119,0.036882883
FAM129B|FAM129B,-0.289648702,0.002726416,-0.306073244,0.001496591
FBXL20|FBXL20,0.256881772,0.009152766,0.227482907,0.02148316
FBXL3|FBXL3,0.265760688,0.031025493,0.296615733,0.015590112
FBXO18|FBXO18,0.290048597,0.002687985,0.204158994,0.036705812
FGFR2|FGFR2,-0.407677043,0.002701165,-0.469001231,0.000453048
FKBP9|FKBP9,-0.248842743,0.010474578,-0.260346634,0.007312974
FLOT2|FLOT2,0.238153987,0.01442711,0.259197436,0.007585506
GARS|GARS,-0.201453505,0.03932673,-0.21994494,0.024166685
GBP4|GBP4,0.228154661,0.019238979,0.214016163,0.028363012
GCLM|GCLM,-0.213351165,0.028870142,-0.212537584,0.029501026
GET4|GET4,-0.220778278,0.023621668,-0.205226534,0.035712779
GFOD2|GFOD2,0.329163957,0.000729952,0.277056969,0.004816451
GNAI2|GNAI2,0.193506918,0.047944884,0.210877691,0.030824466
GPI|GPI,-0.262045585,0.006925925,-0.251462908,0.009664607
GPR56|GPR56,-0.198234437,0.042647346,-0.235146558,0.015750211
GPX4|GPX4,0.204662205,0.036234871,0.267801053,0.005746019
GTF2F2|GTF2F2,-0.206517964,0.034541755,-0.204413597,0.036466898
HERC6|HERC6,0.255785561,0.01189177,0.227136122,0.026048268
HLA-DPB1|HLA-DPB1,0.27906362,0.003941274,0.273000535,0.004837372
HLA-DRB1|HLA-DRB1,0.19674672,0.044259146,0.201504079,0.039276338
HLA-E|HLA-E,0.337920042,0.00042268,0.279952897,0.003823162
HMBS|HMBS,-0.195347126,0.045821406,-0.19316913,0.048343386
HOMER1|HOMER1,-0.215020018,0.029985287,-0.227817714,0.021286737
HSH2D|HSH2D,0.236174923,0.016859201,0.220755359,0.02577233
HSP90AA1|HSP90AA1,-0.206155106,0.034867471,-0.216168428,0.026773217
ICA1|ICA1,-0.291008336,0.002597734,-0.23456107,0.016019677
IFIT5|IFIT5,0.266509428,0.005994032,0.277719768,0.004125962
IKZF1|IKZF1,0.253234489,0.010227973,0.221005171,0.025600912
INADL|INADL,-0.280126275,0.003800507,-0.230203047,0.018153873
KCNAB2|KCNAB2,0.258743579,0.007695585,0.204632915,0.036262143
